鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
信義區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,123.23,1,1,1,1,32000000,267849,坡道平面,1,0.5277,15.09315068,0,中,14,19,十一到十五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,73.87,4,0,4,0,16700000,226073,無車位,0,0,48.6630137,0,中,4,4,一到五層
松山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,28.78,1,1,1,1,11500000,399583,無車位,1,0.3395,39,0,小,5,7,一到五層
北投區,房地(土地+建物)+車位,公寓(5樓含以下無電梯),住家用,166.57,3,2,2,0,26680000,200814,坡道平面,0,0.0863,36.72054795,0,大,4,5,一到五層
北投區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,68.37,3,2,1,0,8880000,129882,無車位,0,0,46.27671233,0,中,2,4,一到五層
士林區,房地(土地+建物),華廈(10層含以下有電梯),住家用,69.96,2,1,1,1,13000000,185820,無車位,1,0.1471,46.70136986,0,中,1,6,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,53.66,2,2,1,1,18500000,344763,無車位,1,0.1638,53.58082192,0,小,6,6,六到十層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,178.7,3,2,2,1,33900000,189703,坡道平面,1,0.4606,0.64109589,0,大,9,15,六到十層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,109.23,2,2,1,1,20100000,184015,坡道平面,1,0.543,8.353424658,0,中,11,26,十一到十五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,122.96,1,1,1,1,28560000,232271,無車位,1,0.1502,42.36986301,0,中,12,12,十一到十五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,19.95,1,0,1,1,3900000,195489,無車位,1,0.2481,42.24383562,0,小,3,12,一到五層
南港區,房地(土地+建物),華廈(10層含以下有電梯),住家用,52.25,1,1,1,0,13320632,254940,無車位,1,0.3472,0.515068493,0,小,3,7,一到五層
松山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,87.84,3,1,2,0,16130000,183629,無車位,0,0,43.9260274,0,中,4,5,一到五層
大同區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,78.1,0,0,0,1,20400000,261204,無車位,1,0.3933,4.01369863,0,中,8,12,六到十層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,106.8,2,2,1,1,25246000,236386,無車位,1,0.3331,0.687671233,0,中,6,15,六到十層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),其他,63.04,2,1,1,0,13000000,206218,無車位,0,0,45.54520548,0,小,3,4,一到五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,93.13,3,2,1,0,17200000,184688,無車位,0,0,46.95342466,0,中,3,5,一到五層
士林區,房地(土地+建物),華廈(10層含以下有電梯),住家用,152.56,4,2,2,1,34500000,226141,無車位,1,0.0515,39.66849315,0,中,2,7,一到五層
北投區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,66.95,1,0,1,1,7580000,113219,坡道平面,1,0.6385,29.17260274,0,中,7,10,六到十層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,65.75,0,0,0,1,15880000,241521,無車位,1,0.5062,15.79178082,0,小,0,7,一層與地下層
中正區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,339.76,3,2,3,1,138995888,409100,坡道平面,1,0.3877,3.273972603,1,大,19,22,十六到二十層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,173.33,4,2,3,0,19930000,114983,無車位,0,0.0919,34.89863014,0,大,4,5,一到五層
大同區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,96.52,2,2,1,0,17500000,181310,無車位,0,0,53.18356164,0,中,3,4,一到五層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,238.88,3,2,2,1,43200000,197707,升降平面,1,0.4227,11.21917808,0,大,2,15,一到五層
中山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,86.8,3,2,1,0,21500000,247696,無車位,0,0,56.52328767,0,中,3,4,一到五層
中山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,111.43,1,1,1,1,21280000,190972,升降平面,1,0.5806,13.5260274,0,中,6,14,六到十層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),商業用,128.4,2,2,1,1,20150000,156931,無車位,1,0.214,28.15068493,0,中,4,9,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,37.69,1,1,1,1,11800000,313080,無車位,1,0.3592,18.97808219,0,小,12,14,十一到十五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,79.17,3,2,1,0,16800000,212202,無車位,0,0,51.18630137,0,中,3,4,一到五層
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),商業用,87.51,2,2,1,1,13900000,158839,坡道機械,1,0.0759,29.72054795,0,中,3,12,一到五層
士林區,房地(土地+建物),華廈(10層含以下有電梯),住家用,52.33,1,1,1,1,18000000,343971,無車位,1,0.4355,2.610958904,0,小,2,7,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,126.32,3,2,2,1,39200000,310323,無車位,1,0,47.64383562,0,中,6,7,六到十層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,66.67,2,1,1,1,25380000,380681,無車位,1,0.1746,45.74794521,0,中,7,14,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,51.62,2,1,1,1,12030000,233049,無車位,1,0.2522,46.49315068,0,小,3,11,一到五層
北投區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,57.47,2,1,1,0,6800000,118323,無車位,0,0,54.46849315,0,小,2,2,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,29.22,1,1,1,1,6000000,205339,無車位,1,0.1591,43.16712329,0,小,7,12,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,36.05,1,1,1,1,10000000,277393,無車位,1,0.2796,25.19726027,0,小,6,14,六到十層
大同區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,39.8,0,0,0,1,11300000,283920,無車位,1,0.3897,2.391780822,0,小,4,15,一到五層
大同區,房地(土地+建物),華廈(10層含以下有電梯),其他,71.86,0,0,0,1,5000000,69589,無車位,1,0.0067,42.23561644,0,中,-1,7,地下層
大同區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,65.2,0,0,0,1,23810000,365184,無車位,1,0.3403,18.58356164,0,小,8,13,六到十層
大安區,房地(土地+建物),華廈(10層含以下有電梯),商業用,135.62,4,2,2,1,41200000,303790,無車位,1,0.1032,42.78356164,0,中,2,7,一到五層
北投區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,97.97,2,1,1,1,20300000,207206,無車位,1,0.3499,12.37808219,0,中,11,19,十一到十五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,83.83,5,2,4,0,43800000,522486,無車位,0,0,60.8,0,中,1,1,一到五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,106.74,2,2,1,0,22770000,213322,無車位,1,0.3332,0.556164384,0,中,7,15,六到十層
中正區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,37.28,1,1,1,1,8650000,232028,無車位,1,0.1816,35.79452055,0,小,7,12,六到十層
南港區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,386.22,4,2,2,1,102000000,324456,坡道平面,1,0.4504,10.3369863,1,大,5,21,一到五層
南港區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,106.36,2,2,2,0,24050000,244106,其他,1,0.4642,0.380821918,0,中,2,7,一到五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,68.16,2,1,1,0,12500000,183392,無車位,0,0.1304,39.66849315,0,中,2,5,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),商業用,46.92,1,1,1,1,12000000,255754,無車位,1,0.2423,47.68767123,0,小,4,8,一到五層
信義區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,184.82,3,2,2,1,47000000,254301,無車位,1,0.3506,18.45205479,0,大,11,13,十一到十五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,75.39,3,2,1,0,16700000,221515,無車位,0,0,54.47671233,0,中,2,4,一到五層
北投區,房地(土地+建物),華廈(10層含以下有電梯),住家用,48.98,0,0,0,1,8500000,173540,無車位,1,0.2266,42.14520548,0,小,6,7,六到十層
松山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,47.76,1,1,1,1,16800000,351759,無車位,1,0,53.97808219,0,小,3,7,一到五層
